"","Emergency","ApplyLeadTime","STG","Service","DIA","Length","Pass","Sch","Material","Weight","MemberCount","JointCount","Making_Co","MakingLT"
"17284","1","정상","50","AI",2,2589,"A","S-80","CS",9616,1,0,"건일산업(주)",14
"17285","1","정상","30","DH",2,3010,"A","S-80","CS",14881,5,4,"(주)성광테크",16
"17286","1","정상","30","N",2,3937,"A","S-80","CS",21179,5,4,"(주)성광테크",34
"17287","1","정상","30","N",2,4956,"A","S-80","CS",2800,5,4,"(주)성광테크",38
"17288","1","정상","30","AI",2,1747,"B","S-80","CS",9037,2,1,"(주)성광테크",19
"17289","1","정상","30","AI",2,4638,"B","S-80","CS",17572,7,6,"(주)성광테크",15
"17291","1","정상","50","AI",2,4483,"B","S-80","CS",16847,5,4,"건일산업(주)",27
"17292","1","정상","50","AI",0.75,4917,"B","S-80","CS",952,2,1,"건일산업(주)",20
"17293","1","정상","50","AU",1,1676,"A","S-80","CS",7681,6,5,"건일산업(주)",18
"17294","1","정상","50","AU",1,3911,"A","S-80","CS",1118,1,0,"건일산업(주)",29
"17295","1","정상","50","AU",1,1663,"A","S-80","CS",20370,1,0,"건일산업(주)",14
"17296","1","정상","50","AU",1,3911,"A","S-80","CS",1118,1,0,"건일산업(주)",29
"17299","1","정상","50","N",0.75,1027,"A","S-80","CS",982,2,1,"건일산업(주)",20
"17302","1","정상","50","N",0.75,1023,"A","S-80","CS",977,2,1,"건일산업(주)",18
"17305","1","정상","50","N",0.75,1027,"A","S-80","CS",982,2,1,"건일산업(주)",18
"17306","1","정상","50","N",1,656,"A","S-80","CS",5402,6,5,"건일산업(주)",22
"17307","1","정상","50","N",1,2124,"A","S-80","CS",1315,3,2,"건일산업(주)",29
"17309","1","정상","40","PG",0.75,3090,"A","S-160","CS",19515,7,6,"건일산업(주)",40
"17311","1","정상","30","AU",1,3911,"A","S-80","CS",1118,1,0,"(주)성광테크",30
"17314","1","정상","30","N",0.75,1027,"A","S-80","CS",982,2,1,"(주)성광테크",16
"17315","1","정상","30","N",2,4783,"A","S-80","CS",1467,5,4,"(주)성광테크",34
"17318","1","정상","50","DF",1.5,1357,"A","S-160","CS",4744,1,0,"건일산업(주)",14
"17319","1","정상","50","DF",1.5,3460,"A","S-160","CS",17879,7,6,"건일산업(주)",21
"17320","1","정상","30","DF",1.5,3140,"A","S-160","CS",15863,6,5,"(주)성광테크",30
"17321","1","정상","30","DF",1.5,1163,"A","S-160","CS",10707,6,5,"(주)성광테크",16
"17323","1","정상","50","CDW",1,3952,"B","S-160","CS",11557,7,6,"건일산업(주)",32
"17324","1","정상","50","CDW",1,2368,"B","S-160","CS",5445,3,2,"건일산업(주)",22
"17325","1","정상","40","CDW",1,1668,"A","S-160","CS",3513,3,2,"건일산업(주)",21
"17326","1","정상","40","CDW",1,1793,"B","S-160","CS",2158,2,1,"건일산업(주)",28
"17328","1","정상","30","WM",2,4531,"A","S-160","CS",5753,6,5,"성일SIM함안공장",27
"17329","1","정상","30","WM",1,4961,"A","S-160","CS",7082,2,1,"성일SIM함안공장",17
"17330","1","정상","30","WM",1,4961,"A","S-160","CS",7082,2,1,"성일SIM함안공장",17
"17331","1","정상","50","DF",1.5,5179,"A","S-160","CS",7466,4,3,"건일산업(주)",25
"17334","0","정상","30","PG",1.5,1093,"A","S-160","LTCS",3712,3,2,"성일SIM함안공장",29
"17335","0","정상","30","PG",2,3878,"A","S-10S","SS",19230,3,2,"삼성중공업(주)거제",67
"17383","1","정상","40","LNG",2,3878,"A","S-10S","SS",19230,3,2,"건일산업(주)",28
"17386","1","정상","30","LNG",0.75,4624,"A","S-80S","SS",7357,3,2,"성일",27
"17388","1","정상","50","CDD",2,1764,"A","S-10S","SS",6542,5,4,"건일산업(주)",34
"17390","1","정상","50","LNG",8,860,"A","S-10S","SS",18806,4,3,"건일산업(주)",33
"17391","1","정상","50","LNG",8,94,"A","S-10S","SS",21036,7,6,"건일산업(주)",36
"17393","1","정상","50","LNG",2,3879,"A","S-10S","SS",19231,3,2,"건일산업(주)",29
"17394","1","정상","50","LNG",1,4611,"A","S-80S","SS",14184,6,5,"건일산업(주)",29
"17395","1","정상","50","LNG",1,4585,"A","S-80S","SS",14080,3,2,"건일산업(주)",31
"17396","1","정상","50","LNG",8,1449,"B","S-10S","SS",15604,1,0,"건일산업(주)",15
"17398","1","정상","50","DH",0.5,4956,"A","S-80","CS",11223,8,0,"성일SIM함안공장",22
"17400","1","정상","50","DH",0.5,1023,"A","S-80","CS",7075,11,0,"성일SIM함안공장",22
"17401","1","정상","50","FW",2,4756,"A","T-3.96","CN",5419,6,5,"부흥",28
"17403","1","정상","50","FW",8,1557,"B","T-6.35","CN",3104,3,2,"부흥",22
