"","Emergency","ApplyLeadTime","STG","Service","DIA","Length","Pass","Sch","Material","Weight","MemberCount","JointCount","Making_Co","After2_Co","PaintingLT"
"6344","1","정상","50","LNG",2,1,"B","S-10S","SS",11352,4,3,"삼성중공업(주)거제","하이에어",27
"6345","1","정상","50","LNG",2,1,"B","S-10S","SS",11352,4,3,"삼성중공업(주)거제","하이에어",25
"6346","1","정상","50","LNG",2,1,"B","S-10S","SS",11352,4,3,"삼성중공업(주)거제","하이에어",27
"6347","1","정상","50","LNG",2,1,"B","S-10S","SS",11352,4,3,"삼성중공업(주)거제","하이에어",25
"6348","1","정상","50","LNG",2,1,"B","S-10S","SS",11352,4,3,"삼성중공업(주)거제","하이에어",27
"6349","1","정상","50","WD",2,1517,"B","S-10S","SS",5390,5,3,"삼성중공업(주)거제","하이에어",25
"6350","1","정상","50","WD",2,657,"B","S-10S","SS",4796,9,7,"삼성중공업(주)거제","하이에어",25
"6351","1","정상","50","WD",2,1273,"B","S-10S","SS",4378,7,5,"삼성중공업(주)거제","하이에어",25
"6352","1","정상","40","LNG",0.75,635,"","S-80S","SS",16556,6,5,"삼성중공업(주)거제","하이에어",22
"6353","1","정상","40","PL",3,181,"","S-10S","SS",9409,8,7,"삼성중공업(주)거제","하이에어",20
"6354","1","정상","40","LNG",8,430,"","S-10S","SS",20052,8,7,"삼성중공업(주)거제","하이에어",22
"6355","0","정상","40","PL",0.75,4585,"","S-80S","SS",3448,10,8,"건일산업(주)","하이에어",27
"6356","1","정상","30","FCH",1,870,"","S-80S","SS",2107,6,5,"삼성중공업(주)거제","성도",26
"6357","1","정상","40","PG",2,5054,"","S-10S","SS",21480,6,5,"건일산업(주)","하이에어",24
"6359","1","정상","50","WD",1,1163,"B","S-80S","SS",3449,7,5,"삼성중공업(주)거제","하이에어",29
"6360","1","정상","50","WD",1,4771,"B","S-80S","SS",21517,7,5,"삼성중공업(주)거제","하이에어",29
"6361","1","정상","50","WD",1,1624,"B","S-80S","SS",6485,4,2,"삼성중공업(주)거제","하이에어",29
"6362","1","정상","50","WD",1,2172,"B","S-80S","SS",7226,3,2,"건일산업(주)","하이에어",22
"6363","1","정상","40","LNG",8,1190,"","S-10S","SS",2378,8,7,"삼성중공업(주)거제","하이에어",20
"6364","1","정상","40","LNG",0.75,507,"","S-80S","SS",14352,4,3,"건일산업(주)","하이에어",22
"6365","1","정상","40","LNG",0.75,4585,"","S-80S","SS",2699,10,8,"건일산업(주)","하이에어",30
"6366","1","정상","30","WD",1,1723,"","S-80S","SS",9135,10,6,"건일산업(주)","하이에어",24
"6367","1","정상","50","WD",1,5205,"A","S-80S","SS",4259,8,5,"건일산업(주)","하이에어",21
"6368","1","정상","50","WD",1,915,"A","S-80S","SS",2840,5,4,"건일산업(주)","하이에어",26
"6371","1","정상","50","WD",0.75,4961,"B","S-80S","SS",959,2,1,"삼성중공업(주)거제","하이에어",25
"6372","1","정상","50","WD",2,854,"B","S-10S","SS",7462,7,6,"삼성중공업(주)거제","하이에어",25
"6373","1","정상","50","WD",2,1633,"B","S-10S","SS",6484,6,5,"삼성중공업(주)거제","하이에어",25
"6374","1","정상","50","WD",1,395,"A","S-80S","SS",4439,6,5,"건일산업(주)","하이에어",26
"6375","1","정상","50","WD",1,2273,"A","S-80S","SS",3402,4,3,"건일산업(주)","하이에어",21
"6376","1","정상","50","WD",1,652,"A","S-80S","SS",5070,8,7,"건일산업(주)","하이에어",26
"6377","1","정상","50","WD",1,753,"A","S-80S","SS",18168,3,2,"삼성중공업(주)거제","하이에어",22
"6378","1","정상","50","WD",1,2163,"A","S-80S","SS",7179,3,2,"건일산업(주)","하이에어",22
"6379","0","정상","30","FW",4,1,"A","T-6.35","CN",3141,2,1,"부흥","하이에어",24
"6382","0","정상","30","FW",6,4727,"B","T-6.35","CN",8524,2,1,"부흥","하이에어",33
"6383","1","정상","30","FW",6,643,"B","T-6.35","CN",17748,3,1,"부흥","하이에어",33
"6384","0","정상","30","FW",6,5193,"B","T-6.35","CN",17883,6,3,"부흥","하이에어",20
"6385","0","정상","30","RN",0.5,4917,"A","S-160","CS",1101,2,1,"성일SIM함안공장","하이에어",31
"6386","0","정상","40","RN",0.5,4917,"A","S-160","CS",1101,2,1,"성일SIM함안공장","하이에어",31
"6387","0","정상","40","RN",0.5,4917,"A","S-160","CS",1101,2,1,"성일SIM함안공장","하이에어",31
"6388","0","정상","30","AU",1,3774,"A","S-80","CS",9627,6,5,"성일SIM함안공장","성일SIM함안공장",28
"6389","1","정상","30","MT",1,4734,"A","S-80","CS",19349,6,5,"(주)성광테크","(주)성광테크",21
"6390","1","정상","30","N",1,3459,"A","S-80","CS",7686,4,3,"(주)성광테크","(주)성광테크",20
"6391","1","정상","50","DH",2,2000,"A","S-80","CS",12607,5,4,"(주)성광테크","(주)성광테크",23
"6392","1","정상","40","N",1,2141,"A","S-80","CS",21200,9,8,"건일산업(주)","건일산업(주)",29
"6393","1","정상","40","N",2,4757,"A","S-80","CS",4028,6,5,"건일산업(주)","건일산업(주)",22
"6394","1","정상","30","RN",2,500,"A","S-160","CS",12782,9,7,"(주)성광테크","(주)성광테크",21
"6395","0","정상","30","RN",0.5,4917,"A","S-160","CS",1101,2,1,"성일SIM함안공장","하이에어",29
"6396","1","정상","30","RN",2,4806,"A","S-80","CS",6559,6,5,"(주)성광테크","(주)성광테크",21
"6399","1","정상","30","MT",4,3122,"A","S-40","CS",9832,7,5,"(주)성광테크","(주)성광테크",21
"6400","1","정상","30","MT",4,3077,"A","S-40","CS",9614,6,4,"(주)성광테크","(주)성광테크",21
"6403","1","정상","40","N",1,2141,"A","S-80","CS",1258,2,1,"건일산업(주)","건일산업(주)",38
"6404","1","정상","40","N",1,3883,"A","S-80","CS",20613,8,7,"건일산업(주)","건일산업(주)",29
"6405","1","정상","30","N",1,2123,"A","S-80","CS",1216,3,2,"(주)성광테크","(주)성광테크",20
"6408","1","정상","40","CWR",3,3894,"A","S-40","CS",8680,7,6,"건일산업(주)","건일산업(주)",22
"6409","1","정상","40","CWS",3,624,"A","S-40","CS",9604,4,3,"(주)성광테크","(주)성광테크",21
"6411","1","정상","30","DH",2,3140,"B","S-80","CS",12907,3,2,"(주)성광테크","(주)성광테크",21
"6413","1","정상","40","AI",1.5,1,"A","S-80","CS",14128,3,2,"(주)성광테크","(주)성광테크",22
"6414","1","정상","40","DN",0.75,4549,"A","S-80","CS",19517,6,5,"(주)성광테크","(주)성광테크",22
"6415","1","정상","40","AI",1,1918,"B","S-80","CS",2617,2,1,"(주)성광테크","(주)성광테크",22
"6416","1","정상","40","N",1,2622,"B","S-80","CS",3809,2,1,"(주)성광테크","(주)성광테크",22
"6417","1","정상","50","N",1,3140,"B","S-80","CS",6365,4,3,"(주)성광테크","(주)성광테크",44
"6418","1","정상","40","DN",0.75,4549,"A","S-80","CS",19524,6,5,"(주)성광테크","(주)성광테크",22
"6419","1","정상","40","DN",0.75,4549,"A","S-80","CS",20561,8,7,"(주)성광테크","(주)성광테크",22
"6420","1","정상","50","RN",0.5,4917,"A","S-160","CS",1101,2,1,"성일SIM함안공장","하이에어",20
"6421","1","정상","50","RN",0.5,4917,"A","S-160","CS",1101,2,1,"성일SIM함안공장","하이에어",20
"6422","1","정상","50","AU",1,3765,"","S-80","CS",8658,6,5,"건일산업(주)","건일산업(주)",22
"6423","1","정상","30","AU",1,2491,"","S-80","CS",5878,6,5,"건일산업(주)","건일산업(주)",29
"6424","1","정상","50","AU",1,109,"","S-80","CS",20310,4,3,"건일산업(주)","건일산업(주)",21
"6425","1","정상","30","AU",1,129,"","S-80","CS",1696,6,5,"건일산업(주)","건일산업(주)",29
"6426","1","정상","30","AU",1,2187,"","S-80","CS",3254,3,2,"건일산업(주)","건일산업(주)",22
"6427","1","정상","30","AU",1,1785,"","S-80","CS",2585,3,2,"건일산업(주)","건일산업(주)",22
"6428","1","정상","30","AU",1,3121,"","S-80","CS",1017,1,0,"건일산업(주)","건일산업(주)",21
"6429","1","정상","30","N",1,2491,"","S-80","CS",5904,6,5,"건일산업(주)","건일산업(주)",29
"6430","1","정상","50","N",1,324,"","S-80","CS",20551,4,3,"건일산업(주)","건일산업(주)",22
"6431","1","정상","30","N",1,129,"","S-80","CS",21535,6,5,"건일산업(주)","건일산업(주)",29
"6434","1","정상","30","N",1,2123,"","S-80","CS",1216,3,2,"건일산업(주)","건일산업(주)",26
"6437","1","정상","30","AU",2,4638,"","S-80","CS",17248,5,4,"건일산업(주)","건일산업(주)",29
"6438","1","정상","30","AU",2,502,"","S-80","CS",7906,6,5,"건일산업(주)","건일산업(주)",22
"6439","1","정상","50","N",2,1143,"","S-80","CS",4054,1,0,"건일산업(주)","건일산업(주)",29
"6441","1","정상","30","N",2,502,"","S-80","CS",8001,7,6,"건일산업(주)","건일산업(주)",22
"6442","0","정상","30","AU",1,4905,"A","S-80","CS",7202,1,0,"성일SIM함안공장","성일SIM함안공장",23
"6443","1","정상","30","AU",1,3122,"A","S-80","CS",1019,1,0,"(주)성광테크","(주)성광테크",23
"6444","1","정상","30","N",1,2124,"A","S-80","CS",1217,3,2,"(주)성광테크","(주)성광테크",20
"6446","0","정상","30","DH",2,2618,"B","S-80","CS",11881,3,2,"성일SIM함안공장","성일SIM함안공장",28
"6448","1","정상","40","N",1,481,"B","S-80","CS",20631,4,3,"성일SIM함안공장","성일SIM함안공장",23
"6449","1","정상","30","RN",1,2254,"B","S-160","CS",7673,5,4,"(주)성광테크","(주)성광테크",21
"6452","0","정상","30","RN",1,1893,"A","S-160","CS",4298,3,2,"성일SIM함안공장","성일SIM함안공장",28
"6453","0","정상","30","RN",1,1813,"A","S-160","CS",2331,2,1,"성일SIM함안공장","성일SIM함안공장",28
"6454","1","정상","40","RN",1,5107,"A","S-160","CS",7099,2,1,"건일산업(주)","건일산업(주)",41
"6455","0","정상","30","AI",1.5,4531,"A","S-80","CS",18164,6,5,"성일SIM함안공장","성일SIM함안공장",30
"6456","0","정상","30","AI",1,5107,"A","S-80","CS",998,3,2,"성일SIM함안공장","성일SIM함안공장",31
"6457","0","정상","30","AI",1,5107,"A","S-80","CS",28,1,0,"성일SIM함안공장","성일SIM함안공장",31
"6458","0","정상","30","AI",1,1030,"A","S-80","CS",54,1,0,"성일SIM함안공장","성일SIM함안공장",31
"6461","0","정상","30","AI",0.75,1023,"A","S-80","CS",977,2,1,"성일SIM함안공장","성일SIM함안공장",31
"6462","0","정상","30","AI",0.75,1023,"A","S-80","CS",977,2,1,"성일SIM함안공장","성일SIM함안공장",31
"6463","1","정상","50","DH",2,2224,"A","S-80","CS",10419,3,2,"(주)성광테크","삼녹",20
"6464","1","정상","40","DN",2,564,"A","S-80","CS",8507,5,4,"건일산업(주)","건일산업(주)",21
"6465","1","정상","40","DN",2,129,"A","S-80","CS",9211,11,10,"건일산업(주)","건일산업(주)",43
"6466","0","정상","30","RN",0.75,1023,"B","S-160","CS",1204,2,1,"성일SIM함안공장","성일SIM함안공장",31
"6467","0","정상","30","RN",1,89,"B","S-160","CS",4509,7,6,"성일SIM함안공장","성일SIM함안공장",24
"6468","0","정상","30","DH",2,4160,"B","S-80","CS",16675,6,5,"성일SIM함안공장","성일SIM함안공장",35
"6471","0","정상","50","N",2,1427,"B","S-80","LTCS",8740,4,3,"성일SIM함안공장","하이에어",31
"6472","0","정상","30","N",2,3669,"B","S-80","LTCS",17738,6,5,"성일SIM함안공장","하이에어",31
"6474","0","정상","30","RN",2,3937,"A","S-80","LTCS",4917,5,3,"성일SIM함안공장","성일SIM함안공장",28
"6475","1","정상","50","DH",2,1,"B","S-80","CS",10693,4,3,"(주)성광테크","삼녹",21
"6479","0","정상","30","WD",1,662,"A","S-80S","SS",1448,4,2,"삼성중공업(주)거제","하이에어",39
"6480","0","정상","40","VA",3,982,"A","S-10S","SS",10275,8,7,"삼성중공업(주)거제","하이에어",22
"6481","0","정상","30","RN",0.75,3951,"A","S-80S","SS",11385,3,2,"삼성중공업(주)거제","하이에어",23
"6482","0","정상","30","RN",2,382,"A","S-10S","SS",21178,4,3,"삼성중공업(주)거제","하이에어",23
"6485","0","정상","30","RN",2,4769,"A","S-10S","SS",1555,3,2,"삼성중공업(주)거제","하이에어",30
"6488","0","정상","50","N",2,4274,"B","S-10S","SS",8338,2,1,"삼성중공업(주)거제","하이에어",22
"6489","0","정상","30","N",2,3676,"B","S-10S","SS",10664,5,3,"삼성중공업(주)거제","하이에어",27
"6490","0","정상","50","N",2,4309,"B","S-10S","SS",8428,2,1,"삼성중공업(주)거제","하이에어",22
"6491","0","정상","40","RN",3,463,"","S-40S","SS",8845,4,3,"삼성중공업(주)거제","하이에어",37
"6492","0","정상","30","RN",2,3950,"A","S-10S","SS",20426,6,5,"성일","하이에어",21
"6493","1","정상","30","WD",1,3121,"","S-80S","SS",1028,1,0,"건일산업(주)","하이에어",22
"6494","1","정상","30","N",2,2621,"","S-10S","SS",3837,2,1,"건일산업(주)","하이에어",22
"6496","1","정상","30","VA",2,1,"A","S-80","CS",10690,7,0,"(주)성광테크","(주)성광테크",22
"6497","1","정상","50","FW",4,1,"A","T-6.35","CN",3141,2,1,"부흥","하이에어",21
"6498","1","정상","30","FW",6,5267,"B","T-6.35","CN",20213,7,6,"부흥","하이에어",21
"6499","1","정상","30","FW",6,1333,"B","T-6.35","CN",3547,5,3,"부흥","하이에어",21
"6500","0","정상","50","RN",0.75,1025,"B","S-160","CS",1207,2,1,"성일SIM함안공장","하이에어",31
"6501","1","정상","50","AU",1,4767,"A","S-80","CS",7072,1,0,"(주)성광테크","(주)성광테크",28
"6502","1","정상","50","AU",1,2172,"A","S-80","CS",7172,3,2,"(주)성광테크","(주)성광테크",22
"6503","1","정상","40","AU",1,1506,"A","S-80","CS",4409,6,5,"(주)성광테크","(주)성광테크",22
"6504","1","정상","50","AU",2,3515,"A","S-80","CS",13572,2,1,"(주)성광테크","(주)성광테크",20
"6505","0","정상","40","N",2,4589,"A","S-160","CS",9131,7,6,"성일SIM함안공장","하이에어",44
"6506","1","정상","50","N",2,3515,"A","S-80","CS",13572,2,1,"(주)성광테크","(주)성광테크",20
"6507","1","정상","50","N",1,4790,"A","S-80","CS",16523,3,2,"성일SIM함안공장","성일SIM함안공장",31
"6508","1","정상","50","N",1,847,"A","S-80","CS",21480,7,6,"성일SIM함안공장","성일SIM함안공장",31
"6510","1","정상","50","AU",1,1144,"A","S-80","CS",4905,9,8,"성일SIM함안공장","성일SIM함안공장",30
"6511","1","정상","50","AU",1,3121,"A","S-80","CS",1017,1,0,"성일SIM함안공장","성일SIM함안공장",28
"6512","1","정상","50","DH",2,5180,"A","S-80","CS",8755,8,7,"(주)성광테크","삼녹",20
"6513","1","정상","50","CWS",3,3246,"A","S-40","CS",16807,2,1,"(주)성광테크","(주)성광테크",20
"6515","0","정상","30","CWS",6,603,"B","S-40","CS",20717,6,5,"해승케이피피","해승케이피피",20
"6516","1","정상","50","N",1,2170,"A","S-80","CS",177,1,0,"(주)성광테크","(주)성광테크",28
"6518","1","정상","50","N",1,2172,"A","S-80","CS",7344,5,4,"(주)성광테크","(주)성광테크",24
"6519","1","정상","40","AI",1.5,1055,"A","S-80","CS",16490,5,4,"(주)성광테크","(주)성광테크",22
"6520","1","정상","50","AU",2,698,"A","S-80","CS",8791,6,5,"(주)성광테크","(주)성광테크",20
"6521","1","정상","50","N",2,500,"A","S-80","CS",8265,6,5,"(주)성광테크","(주)성광테크",20
"6524","0","정상","40","RN",2,4558,"A","S-160","CS",6478,5,4,"성일SIM함안공장","하이에어",44
"6526","1","정상","30","N",4,1,"A","S-40","CS",18296,9,8,"성일SIM함안공장","성일SIM함안공장",24
"6527","1","정상","50","AU",1,1877,"B","S-80","CS",4781,6,5,"(주)성광테크","(주)성광테크",24
"6531","0","정상","30","DH",2,2330,"B","S-80","CS",13509,5,4,"(주)성광테크","(주)성광테크",26
"6534","1","정상","30","CWR",6,499,"B","S-40","CS",21785,5,4,"해승케이피피","해승케이피피",27
"6535","1","정상","30","CWS",6,499,"B","S-40","CS",1854,5,4,"해승케이피피","해승케이피피",27
"6536","1","정상","50","AU",1,2172,"A","S-80","CS",7172,3,2,"(주)성광테크","(주)성광테크",22
"6537","1","정상","40","AU",1,4591,"A","S-80","CS",19345,5,4,"(주)성광테크","(주)성광테크",22
"6538","1","정상","50","N",1,1029,"A","S-80","CS",7097,5,4,"(주)성광테크","(주)성광테크",24
"6539","1","정상","50","N",1,1124,"A","S-80","CS",1114,3,2,"(주)성광테크","(주)성광테크",28
"6540","1","정상","50","N",1,2172,"A","S-80","CS",7344,5,4,"(주)성광테크","(주)성광테크",24
"6542","1","정상","40","N",1,2124,"A","S-80","CS",1217,3,2,"(주)성광테크","(주)성광테크",22
"6544","1","정상","50","AU",1,3140,"B","S-80","CS",3273,2,1,"(주)성광테크","(주)성광테크",28
"6545","1","정상","30","CWR",6,4428,"B","S-40","CS",6137,4,3,"성일SIM함안공장","하이에어",31
"6547","0","준긴급","50","N",3,1,"A","S-40","CS",15135,7,6,"(주)성광테크","(주)성광테크",22
"6548","1","정상","30","AI",2,5230,"B","S-80","CS",20297,2,1,"(주)성광테크","(주)성광테크",29
"6549","1","정상","30","AI",2,5226,"B","S-80","CS",2768,3,2,"(주)성광테크","(주)성광테크",29
"6550","1","정상","30","AI",2,200,"B","S-80","CS",5407,5,4,"(주)성광테크","(주)성광테크",29
"6553","1","정상","30","N",2,1264,"B","S-80","CS",15926,10,9,"해승케이피피","해승케이피피",20
"6554","1","정상","30","N",2,2755,"B","S-80","CS",14472,8,7,"해승케이피피","해승케이피피",20
"6555","1","정상","50","N",1,3140,"B","S-80","CS",3777,4,3,"(주)성광테크","(주)성광테크",22
"6557","1","정상","30","N",2,2185,"A","S-80","CS",18285,5,4,"(주)성광테크","(주)성광테크",21
"6558","1","정상","30","N",0.75,1023,"A","S-80","CS",977,2,1,"(주)성광테크","(주)성광테크",20
"6559","1","정상","50","N",2,2185,"A","S-80","CS",18285,5,4,"(주)성광테크","(주)성광테크",21
"6564","1","정상","50","N",0.5,4917,"A","S-80","CS",5,1,0,"(주)성광테크","(주)성광테크",22
"6566","1","정상","50","N",0.5,4917,"A","S-80","CS",5,1,0,"(주)성광테크","(주)성광테크",22
"6568","1","정상","50","N",0.5,4917,"A","S-80","CS",5,1,0,"(주)성광테크","(주)성광테크",22
"6569","1","정상","50","N",0.5,4917,"A","S-80","CS",179,2,1,"(주)성광테크","(주)성광테크",45
"6570","1","정상","30","N",1,2085,"A","S-80","CS",8078,6,5,"성일SIM함안공장","성일SIM함안공장",28
"6571","1","정상","30","N",1,690,"A","S-80","CS",21193,3,2,"성일SIM함안공장","성일SIM함안공장",28
"6572","1","정상","50","RN",1,1612,"A","S-160","CS",1712,2,1,"(주)성광테크","(주)성광테크",22
"6573","1","정상","30","N",0.75,1023,"A","S-80","CS",977,2,1,"성일SIM함안공장","성일SIM함안공장",28
"6575","1","정상","50","AI",1.5,5109,"B","S-80","CS",21262,6,5,"(주)성광테크","(주)성광테크",24
"6576","1","정상","50","AI",1.5,3013,"B","S-80","CS",9128,2,1,"(주)성광테크","(주)성광테크",28
"6577","1","정상","50","AI",1.5,969,"B","S-80","CS",3977,3,2,"(주)성광테크","(주)성광테크",28
"6578","1","정상","50","AI",1.5,806,"B","S-80","CS",11621,9,8,"(주)성광테크","(주)성광테크",24
"6579","1","정상","40","RN",0.5,4917,"B","S-160","CS",1101,2,1,"건일산업(주)","건일산업(주)",21
"6580","1","정상","40","RN",0.5,4917,"B","S-160","CS",1101,2,1,"건일산업(주)","건일산업(주)",26
"6581","1","정상","40","RN",0.5,4917,"B","S-160","CS",1101,2,1,"건일산업(주)","하이에어",39
"6585","1","정상","40","MT",4,2268,"B","S-40","CS",18597,4,3,"건일산업(주)","건일산업(주)",22
"6586","1","정상","30","AI",1,5258,"A","S-80","CS",1009,3,2,"성일SIM함안공장","성일SIM함안공장",28
"6587","1","정상","30","AI",1,1064,"A","S-80","CS",67,1,0,"성일SIM함안공장","성일SIM함안공장",30
"6588","1","정상","30","AI",1,3882,"A","S-80","CS",11467,4,3,"성일SIM함안공장","성일SIM함안공장",28
"6589","1","정상","30","AI",1,5029,"A","S-80","CS",19404,7,6,"성일SIM함안공장","성일SIM함안공장",28
"6590","1","정상","40","AI",1,2155,"A","S-80","CS",11271,4,3,"건일산업(주)","건일산업(주)",21
"6591","1","정상","30","AI",0.75,1023,"A","S-80","CS",977,2,1,"성일SIM함안공장","성일SIM함안공장",28
"6593","1","정상","30","AI",1.5,1972,"B","S-80","CS",9251,5,4,"성일SIM함안공장","성일SIM함안공장",28
"6594","1","정상","30","AI",1.5,135,"B","S-80","CS",1419,6,5,"성일SIM함안공장","성일SIM함안공장",28
"6595","1","정상","50","AU",1,2889,"","S-80","CS",6596,6,5,"건일산업(주)","건일산업(주)",27
"6598","1","정상","30","RN",1,1142,"A","S-80","LTCS",20468,10,9,"(주)성광테크","(주)성광테크",22
"6599","1","정상","30","RN",1,4609,"A","S-80","LTCS",21493,8,7,"(주)성광테크","(주)성광테크",24
"6601","0","정상","30","RN",2,2152,"A","S-10S","SS",21189,3,2,"삼성중공업(주)거제","하이에어",30
"6602","0","정상","50","WD",1,2172,"A","S-80S","SS",7184,3,2,"삼성중공업(주)거제","하이에어",40
"6603","0","정상","40","WD",1,5091,"A","S-80S","SS",1601,8,6,"삼성중공업(주)거제","하이에어",26
"6604","0","정상","50","WD",2,944,"A","S-10S","SS",4787,7,5,"삼성중공업(주)거제","하이에어",23
"6605","0","정상","50","WD",2,3816,"A","S-10S","SS",9485,5,3,"삼성중공업(주)거제","하이에어",22
"6606","0","정상","50","WD",1,811,"B","S-80S","SS",2341,6,4,"삼성중공업(주)거제","하이에어",28
"6607","0","정상","50","WD",1,72,"A","S-80S","SS",19232,3,1,"삼성중공업(주)거제","하이에어",27
"6608","0","정상","50","WD",1,1288,"A","S-80S","SS",21415,5,4,"삼성중공업(주)거제","하이에어",26
"6609","0","정상","30","VA",1,1514,"B","S-80S","SS",3785,5,2,"삼성중공업(주)거제","하이에어",27
"6610","1","정상","30","VA",1,2013,"B","S-80S","SS",4477,4,1,"삼성중공업(주)거제","하이에어",39
"6611","1","정상","30","VA",1,1563,"B","S-80S","SS",5849,5,2,"삼성중공업(주)거제","하이에어",39
"6612","1","정상","40","VA",1,253,"B","S-80S","SS",14176,2,1,"삼성중공업(주)거제","하이에어",22
"6613","0","정상","40","RN",2,1935,"A","S-10S","SS",6482,6,5,"삼성중공업(주)거제","하이에어",24
"6614","0","정상","40","RN",2,3911,"A","S-10S","SS",21479,3,2,"삼성중공업(주)거제","하이에어",37
"6616","0","정상","40","WD",2,400,"B","S-10S","SS",4415,6,4,"삼성중공업(주)거제","하이에어",23
"6617","1","정상","50","RN",0.75,3064,"A","S-80S","SS",11218,6,5,"삼성중공업(주)거제","성도",22
"6618","0","정상","50","RN",0.75,3112,"A","S-80S","SS",11360,3,2,"삼성중공업(주)거제","하이에어",30
"6619","1","정상","50","PW",2,1496,"A","S-10S","SS",7638,7,5,"건일산업(주)","하이에어",31
"6620","0","정상","50","PW",2,460,"B","S-10S","SS",21390,4,3,"삼성중공업(주)거제","하이에어",26
"6621","1","정상","50","PW",2,2405,"B","S-10S","SS",5910,4,3,"삼성중공업(주)거제","하이에어",30
"6623","0","정상","30","OL",3,4256,"B","S-10S","SS",15797,6,3,"삼성중공업(주)거제","하이에어",28
"6624","1","정상","30","OL",3,4638,"B","S-10S","SS",16700,6,3,"삼성중공업(주)거제","하이에어",30
"6625","0","정상","30","OL",3,3627,"B","S-10S","SS",12986,3,1,"삼성중공업(주)거제","하이에어",39
"6626","1","정상","30","OL",3,820,"B","S-10S","SS",3185,2,1,"삼성중공업(주)거제","하이에어",28
"6628","0","정상","40","WD",1,4591,"A","S-80S","SS",19360,5,3,"삼성중공업(주)거제","하이에어",27
"6629","0","정상","40","RN",2,4582,"A","S-10S","SS",1519,6,5,"삼성중공업(주)거제","하이에어",37
"6631","0","정상","50","WD",2,3784,"A","S-10S","SS",12205,9,6,"삼성중공업(주)거제","하이에어",22
"6633","1","정상","30","VA",3,3468,"B","S-10S","SS",13642,6,3,"삼성중공업(주)거제","하이에어",22
"6634","0","정상","40","RN",1.5,3126,"A","S-80S","SS",20415,6,5,"삼성중공업(주)거제","하이에어",37
"6635","0","정상","40","RN",1.5,4578,"A","S-80S","SS",21223,3,2,"삼성중공업(주)거제","하이에어",26
"6636","0","정상","40","RN",1,2169,"A","S-80S","SS",14265,3,2,"삼성중공업(주)거제","하이에어",26
"6637","0","정상","40","RN",1.5,2174,"A","S-80S","SS",19431,3,2,"삼성중공업(주)거제","하이에어",26
"6639","1","정상","30","OL",2,1951,"B","S-10S","SS",5350,4,2,"삼성중공업(주)거제","하이에어",34
"6641","1","정상","50","VA",1,100,"B","S-80S","SS",20398,5,3,"삼성중공업(주)거제","성도",22
"6642","1","정상","30","VA",1,4274,"B","S-80S","SS",9074,3,0,"성일","하이에어",22
"6643","1","정상","30","VA",1,2606,"B","S-80S","SS",5700,4,1,"성일","하이에어",22
"6644","1","정상","30","OL",2,2731,"B","S-10S","SS",9188,6,3,"성일","하이에어",22
"6645","1","정상","50","VA",2,1,"A","S-80","CS",13512,11,0,"건일산업(주)","하이에어",20
"6646","0","정상","30","FW",6,3782,"B","T-6.35","CN",4638,2,1,"부흥","하이에어",20
"6647","1","정상","50","N",1,2172,"A","S-80","CS",7344,5,4,"건일산업(주)","건일산업(주)",20
"6648","1","정상","30","N",1,3101,"A","S-80","CS",11247,5,4,"성일SIM함안공장","성일SIM함안공장",30
"6649","1","정상","30","RN",1,2618,"A","S-160","CS",5777,3,2,"성일SIM함안공장","성일SIM함안공장",30
"6650","1","정상","50","AI",2,3515,"A","S-80","CS",12452,1,0,"건일산업(주)","건일산업(주)",30
"6651","1","정상","50","AU",2,3504,"A","S-80","CS",14710,4,3,"건일산업(주)","건일산업(주)",30
"6652","1","정상","50","AU",2,4274,"A","S-80","CS",14853,3,2,"건일산업(주)","건일산업(주)",25
"6653","1","정상","50","AU",2,4638,"A","S-80","CS",16150,3,2,"건일산업(주)","건일산업(주)",25
"6655","1","정상","40","DN",2,146,"A","S-80","CS",9290,11,10,"건일산업(주)","건일산업(주)",35
"6657","1","정상","30","N",2,5026,"A","S-80","CS",3359,5,4,"성일SIM함안공장","하이에어",37
"6658","1","정상","50","N",2,2958,"A","S-80","CS",11886,4,3,"건일산업(주)","건일산업(주)",27
"6660","1","정상","50","N",2,4274,"A","S-80","CS",14725,3,2,"건일산업(주)","건일산업(주)",25
"6661","1","정상","50","N",2,4638,"A","S-80","CS",16193,4,3,"건일산업(주)","건일산업(주)",25
"6663","1","정상","30","RN",2,3852,"A","S-160","CS",2816,5,4,"성일SIM함안공장","성일SIM함안공장",22
"6664","1","정상","50","RN",2,5226,"A","S-160","CS",10790,10,9,"건일산업(주)","건일산업(주)",24
"6665","1","정상","50","RN",0.5,4917,"A","S-160","CS",1101,2,1,"건일산업(주)","하이에어",24
"6666","1","정상","50","RN",2,1297,"A","S-160","CS",15113,9,8,"건일산업(주)","건일산업(주)",23
"6667","1","정상","50","RN",0.5,4917,"A","S-160","CS",1101,2,1,"건일산업(주)","하이에어",24
"6668","1","정상","50","RN",2,4802,"A","S-80","CS",5225,7,6,"건일산업(주)","건일산업(주)",22
"6669","0","정상","50","RN",0.75,1023,"A","S-160","CS",1204,2,1,"성일SIM함안공장","하이에어",25
"6670","1","정상","40","CWS",3,222,"A","S-40","CS",16832,11,10,"건일산업(주)","하이에어",20
"6671","1","정상","30","RN",1,983,"B","S-160","CS",2098,2,1,"성일SIM함안공장","성일SIM함안공장",30
