"","Emergency","ApplyLeadTime","STG","Service","DIA","Length","Pass","Sch","Material","Weight","MemberCount","JointCount","Making_Co","After2_Co","PaintingLT"
"2208","1","정상","30","CWR",3,2127,"A","S-40","CS",1590,6,5,"(주)성광테크","(주)성광테크",20
"2209","1","정상","30","CWR",0.75,1026,"A","S-80","CS",981,2,1,"(주)성광테크","(주)성광테크",28
"2210","1","정상","30","CWR",3,2127,"A","S-40","CS",1590,6,5,"(주)성광테크","(주)성광테크",28
"2211","1","정상","30","CWR",0.75,1026,"A","S-80","CS",981,2,1,"(주)성광테크","(주)성광테크",28
"2212","1","정상","50","CWS",3,3672,"A","S-40","CS",20701,7,6,"(주)성광테크","(주)성광테크",20
"2213","1","정상","40","CWS",3,1139,"A","S-40","CS",2812,5,4,"건일산업(주)","건일산업(주)",23
"2214","1","정상","30","CWS",0.75,1026,"A","S-80","CS",981,2,1,"건일산업(주)","건일산업(주)",26
"2215","1","정상","30","PG",1,1027,"A","S-160","CS",1262,2,1,"(주)성광테크","(주)성광테크",28
"2216","1","정상","30","PG",0.5,4917,"A","S-160","CS",1073,2,1,"(주)성광테크","(주)성광테크",28
"2217","1","정상","50","PL",8,2287,"A","S-40","CS",8224,4,3,"(주)성광테크","(주)성광테크",23
"2219","1","정상","30","AI",2,2824,"B","S-80","CS",12951,5,4,"건일산업(주)","건일산업(주)",22
