"","block_group","block_location","ship_type","weight","business","workday_plan","workday_record"
"470","S","P","BC4",38,"CorpSDsacheon",5,31
"471","S","S","BC4",38,"CorpSDsacheon",5,31
"472","S","P","BC4",50,"2YARD",5,10
"473","S","S","BC4",43,"2YARD",5,13
"474","S","P","BC4",100,"2YARD",5,9
"475","S","S","BC4",100,"2YARD",5,13
"476","S","P","BC4",32,"2YARD",5,18
"477","S","S","BC4",39,"2YARD",5,10
"478","S","P","BC4",42,"2YARD",5,1
"479","S","S","BC4",42,"2YARD",5,11
"480","S","P","BC4",92,"2YARD",5,4
"481","S","S","BC4",92,"2YARD",5,7
"482","S","P","BC4",45,"CorpSDsacheon",5,28
"483","S","S","BC4",45,"CorpSDsacheon",5,28
"484","S","P","BC4",95,"CorpSDsacheon",5,28
"485","S","S","BC4",95,"CorpSDsacheon",5,28
"486","S","P","BC4",38,"CorpSDsacheon",5,28
"487","S","S","BC4",38,"CorpSDsacheon",5,28
"488","S","P","BC4",51,"CorpSDsacheon",5,13
"489","S","S","BC4",51,"CorpSDsacheon",5,13
"490","S","P","BC4",89,"CorpSDsacheon",5,13
"491","S","S","BC4",89,"CorpSDsacheon",5,13
"500","T","P","BC4",45,"DHMC",5,21
"501","T","S","BC4",52,"DHMC",5,21
"502","T","P","BC4",54,"DHMC",5,21
"503","T","S","BC4",48,"DHMC",5,21
"504","W","P","BC4",1,"CorpSDmasan",3,16
"505","W","S","BC4",1,"CorpSDmasan",3,16
"506","W","P","BC4",1,"CorpSDmasan",3,16
"507","W","S","BC4",1,"CorpSDmasan",3,16
"508","W","P","BC4",1,"CorpSDmasan",3,16
"509","W","S","BC4",1,"CorpSDmasan",3,16
"510","W","P","BC4",1,"CorpSDmasan",3,16
"511","W","S","BC4",1,"CorpSDmasan",3,16
"512","W","P","BC4",1,"CorpSDmasan",3,8
"513","W","S","BC4",1,"CorpSDmasan",3,8
"514","W","P","BC4",1,"CorpSDmasan",3,8
"515","W","S","BC4",1,"CorpSDmasan",3,8
"516","W","P","BC4",1,"CorpSDmasan",3,6
"517","W","S","BC4",1,"CorpSDmasan",3,6
"518","W","P","BC4",1,"CorpSDmasan",3,6
"519","W","S","BC4",1,"CorpSDmasan",3,6
"520","W","P","BC4",1,"CorpSDmasan",3,11
"521","W","S","BC4",1,"CorpSDmasan",3,11
"522","W","P","BC4",1,"CorpSDmasan",3,11
"523","W","S","BC4",1,"CorpSDmasan",3,11
"524","W","P","BC4",1,"CorpSDmasan",3,4
"525","W","S","BC4",1,"CorpSDmasan",3,4
"526","W","P","BC4",1,"CorpSDmasan",3,4
"527","W","S","BC4",1,"CorpSDmasan",3,4
"528","W","P","BC4",1,"CorpSDmasan",3,14
"529","W","S","BC4",1,"CorpSDmasan",3,14
"530","W","P","BC4",1,"CorpSDmasan",3,14
"531","W","S","BC4",1,"CorpSDmasan",3,14
"532","W","P","BC4",1,"CorpSDmasan",3,15
"533","W","S","BC4",1,"CorpSDmasan",3,15
"534","W","P","BC4",1,"CorpSDmasan",3,15
"535","W","S","BC4",1,"CorpSDmasan",3,15
"536","W","P","BC4",1,"CorpSDmasan",3,13
"537","W","S","BC4",1,"CorpSDmasan",3,13
"538","W","P","BC4",1,"CorpSDmasan",3,13
"539","W","S","BC4",1,"CorpSDmasan",3,13
"543","A","P","BC51",88,"CorpSDsacheon",7,40
"544","A","S","BC51",89,"CorpSDsacheon",7,40
"545","A","C","BC51",67,"CorpSDsacheon",7,40
"546","A","C","BC51",67,"CorpSDsacheon",7,40
"547","A","P","BC51",28,"CorpSDsacheon",7,31
"548","A","S","BC51",51,"CorpSDsacheon",7,31
"549","A","P","BC51",23,"CorpSDsacheon",7,31
"550","A","S","BC51",45,"CorpSDsacheon",7,31
"551","A","P","BC51",21,"CorpSDsacheon",7,31
"552","A","S","BC51",41,"CorpSDsacheon",7,31
"553","A","P","BC51",73,"CorpSDmasan",6,26
"554","A","S","BC51",61,"CorpSDmasan",6,26
"555","A","P","BC51",25,"CorpSDmasan",5,26
"556","A","S","BC51",30,"CorpSDmasan",6,26
"557","A","P","BC51",15,"CorpSDmasan",6,26
"558","A","S","BC51",15,"CorpSDmasan",6,26
"559","A","C","BC51",91,"DHMC",7,8
"560","B","P","BC51",42,"2YARD",5,11
"561","B","S","BC51",14,"2YARD",5,13
"562","B","P","BC51",80,"2YARD",5,11
"563","B","S","BC51",40,"2YARD",5,11
"564","B","P","BC51",62,"2YARD",5,10
"565","B","S","BC51",32,"2YARD",5,13
"566","B","P","BC51",110,"2YARD",5,7
"567","B","S","BC51",70,"2YARD",5,4
"568","B","P","BC51",54,"2YARD",5,11
"569","B","S","BC51",35,"2YARD",5,3
"570","B","P","BC51",150,"2YARD",5,6
"571","B","S","BC51",100,"2YARD",5,4
"572","B","P","BC51",66,"2YARD",5,8
"573","B","S","BC51",45,"2YARD",5,8
"574","B","P","BC51",157,"2YARD",5,8
"575","B","S","BC51",105,"2YARD",5,4
"576","B","P","BC51",80,"2YARD",5,24
"577","B","S","BC51",43,"2YARD",5,18
"578","B","P","BC51",190,"2YARD",5,24
"579","B","S","BC51",140,"2YARD",5,2
"580","B","P","BC51",57,"2YARD",5,21
