,After2_Co,ApplyLeadTime,BLOCK,DIA,Distribution,Emergency,JointCount,Length,Making_Co,Material,MemberCount,NO_Base,NO_Serial,NO_SetPLT,No_row,PaintingLT,Pass,Problem,STG,Sch,Service,Weight
93,하이에어,정상,C030A,4.0,조선물류,1.0,1.0,4164.0,부흥,CN,2.0,SN2126TC030APP03B0,70.0,PP039A1104,98,9.0,A,제작지연,3B,T-6.35,FW,73.6
94,하이에어,정상,C030A,4.0,조선물류,1.0,1.0,2896.0,부흥,CN,2.0,SN2126TC030APP03B0,70.0,PP039A1104,99,9.0,A,제작지연,3B,T-6.35,FW,52.467
95,하이에어,정상,C030A,4.0,조선물류,1.0,0.0,4398.0,부흥,CN,1.0,SN2126TC030APP03B0,70.0,PP039A1104,100,15.0,A,제작지연,3B,T-6.35,FW,73.3
96,하이에어,정상,C030A,4.0,조선물류,1.0,1.0,6000.0,부흥,CN,2.0,SN2126TC030APP03B0,70.0,PP039A1104,101,17.0,A,제작지연,3B,T-6.35,FW,195.0
97,하이에어,정상,C030A,4.0,조선물류,1.0,1.0,1212.0,부흥,CN,3.0,SN2126T0C100PP0500,70.0,PP05RA1104,102,20.0,A,제작지연,50,T-6.35,FW,29.9
98,(주)성광테크,정상,C030A,1.0,조선물류,1.0,5.0,3705.0,(주)성광테크,CS,6.0,SN2126T0C100PP0500,40.0,PP058A1105,103,24.0,A,제작지연,50,S-160,FWH,23.9
99,(주)성광테크,정상,C030A,1.0,조선물류,1.0,5.0,3955.0,(주)성광테크,CS,6.0,SN2126T0C100PP0500,40.0,PP058A1105,104,24.0,A,제작지연,50,S-160,FWH,25.688
100,건일산업(주),정상,C030A,1.0,조선물류,1.0,5.0,4205.0,건일산업(주),CS,6.0,SN2126T0C100PP0500,40.0,PP058A1105,105,10.0,A,기타,50,S-160,FWH,27.471
101,건일산업(주),정상,C030A,1.0,조선물류,1.0,1.0,1485.0,건일산업(주),CS,3.0,SN2126T0C100PP0500,40.0,PP05RA1105,106,15.0,A,설계보류,50,S-160,FWH,8.388
102,건일산업(주),정상,C030A,1.0,조선물류,1.0,1.0,1485.0,건일산업(주),CS,3.0,SN2126T0C100PP0500,40.0,PP05RA1105,107,15.0,A,설계보류,50,S-160,FWH,8.388
103,건일산업(주),정상,C030A,1.0,조선물류,1.0,1.0,1485.0,건일산업(주),CS,3.0,SN2126T0C100PP0500,40.0,PP05RA1105,108,15.0,A,설계보류,50,S-160,FWH,8.388
104,하이에어,정상,C030A,2.0,조선물류,1.0,0.0,4943.0,성일SIM함안공장,CS,1.0,SN2126TC030APP03B0,40.0,PP039A1104,109,12.0,A,제작지연,3B,S-160,CDW,54.917
105,하이에어,정상,C030A,2.0,조선물류,1.0,1.0,3058.0,성일SIM함안공장,CS,2.0,SN2126TC030APP03B0,40.0,PP039A1104,110,10.0,A,제작지연,3B,S-160,CDW,35.304
106,하이에어,정상,C030A,2.0,조선물류,1.0,1.0,6000.0,성일SIM함안공장,CS,2.0,SN2126TC030APP03B0,40.0,PP039A1104,111,10.0,A,제작지연,3B,S-160,CDW,67.99
107,하이에어,정상,C030A,2.0,조선물류,1.0,0.0,3974.0,성일SIM함안공장,CS,1.0,SN2126TC030APP03B0,40.0,PP039A1104,112,12.0,A,제작지연,3B,S-160,CDW,44.151
108,하이에어,정상,C030A,2.0,조선물류,1.0,0.0,5600.0,성일SIM함안공장,CS,1.0,SN2126TC030APP03B0,40.0,PP039A1104,113,12.0,A,제작지연,3B,S-160,CDW,62.216
109,하이에어,정상,C030A,6.0,조선물류,1.0,1.0,5286.0,성일SIM함안공장,CS,2.0,SN2126TC030APP03B0,40.0,PP039A1104,114,10.0,A,제작지연,3B,S-40,FWH,159.322
110,하이에어,정상,C030A,6.0,조선물류,1.0,1.0,2702.0,성일SIM함안공장,CS,2.0,SN2126TC030APP03B0,40.0,PP039A1104,115,19.0,A,제작지연,3B,S-40,FWH,86.29899999999998
111,하이에어,정상,C030A,6.0,조선물류,1.0,3.0,2723.0,성일SIM함안공장,CS,4.0,SN2126TC030APP03B0,40.0,PP039A1104,116,10.0,A,제작지연,3B,S-40,FWH,78.092
112,하이에어,정상,C030A,6.0,조선물류,1.0,4.0,6000.0,성일SIM함안공장,CS,5.0,SN2126TC030APP03B0,40.0,PP039A1104,117,9.0,A,제작지연,3B,S-40,FWH,344.21
113,건일산업(주),정상,C030A,6.0,조선물류,1.0,1.0,409.0,건일산업(주),CS,2.0,SN2126T0C100PP0500,40.0,PP058A1104,118,14.0,A,기타,50,S-40,FWH,21.498
114,하이에어,정상,C030A,2.0,조선물류,1.0,2.0,5500.0,성일SIM함안공장,CS,3.0,SN2126TC030APP03B0,40.0,PP039A1104,119,12.0,A,제작지연,3B,S-80,AI,48.31
115,하이에어,정상,C030A,2.0,조선물류,1.0,2.0,4218.0,성일SIM함안공장,CS,3.0,SN2126TC030APP03B0,40.0,PP039A1104,120,12.0,A,제작지연,3B,S-80,AI,40.491
116,하이에어,정상,C030A,2.0,조선물류,1.0,2.0,6000.0,성일SIM함안공장,CS,3.0,SN2126TC030APP03B0,40.0,PP039A1104,121,12.0,A,제작지연,3B,S-80,AI,50.25
117,하이에어,정상,C030A,2.0,조선물류,1.0,2.0,3058.0,성일SIM함안공장,CS,3.0,SN2126TC030APP03B0,40.0,PP039A1104,122,12.0,A,제작지연,3B,S-80,AI,28.244
118,(주)성광테크,정상,C030A,0.75,조선물류,1.0,1.0,100.0,(주)성광테크,CS,2.0,SN2126T0C100PP0500,40.0,PP058A1105,123,12.0,A,제작지연,50,S-80,AI,1.12
119,건일산업(주),정상,C030A,2.0,조선물류,1.0,2.0,1327.0,건일산업(주),CS,4.0,SN2126T0C100PP0500,40.0,PP05RA1104,124,25.0,A,제작지연,50,S-80,AI,16.226
120,하이에어,정상,C030A,2.0,조선물류,1.0,3.0,6000.0,성일SIM함안공장,CS,4.0,SN2126TC030APP03B0,40.0,PP039A1104,125,12.0,A,제작지연,3B,S-80,AU,54.72
121,하이에어,정상,C030A,2.0,조선물류,1.0,1.0,6000.0,성일SIM함안공장,CS,2.0,SN2126TC030APP03B0,40.0,PP039A1104,126,12.0,A,제작지연,3B,S-80,AU,49.35
122,하이에어,정상,C030A,2.0,조선물류,1.0,2.0,2584.0,성일SIM함안공장,CS,3.0,SN2126TC030APP03B0,40.0,PP039A1104,127,12.0,A,제작지연,3B,S-80,AU,24.698
123,하이에어,정상,C030A,2.0,조선물류,1.0,2.0,3008.0,성일SIM함안공장,CS,3.0,SN2126TC030APP03B0,40.0,PP039A1104,128,12.0,A,제작지연,3B,S-80,AU,27.87
124,하이에어,정상,C030A,2.0,조선물류,1.0,2.0,5212.0,성일SIM함안공장,CS,3.0,SN2126TC030APP03B0,40.0,PP039A1104,129,12.0,A,제작지연,3B,S-80,AU,46.15600000000001
125,건일산업(주),정상,C030A,2.0,조선물류,1.0,2.0,1394.0,건일산업(주),CS,3.0,SN2126T0C100PP0500,40.0,PP05RA1104,130,25.0,A,제작지연,50,S-80,AU,14.027
126,하이에어,정상,C030A,2.0,조선물류,1.0,3.0,6000.0,성일SIM함안공장,CS,4.0,SN2126TC030APP03B0,40.0,PP039A1104,131,12.0,A,제작지연,3B,S-80,N,56.52
127,하이에어,정상,C030A,2.0,조선물류,1.0,1.0,3818.0,성일SIM함안공장,CS,2.0,SN2126TC030APP03B0,40.0,PP039A1104,132,12.0,A,제작지연,3B,S-80,N,33.029
128,하이에어,정상,C030A,2.0,조선물류,1.0,1.0,6000.0,성일SIM함안공장,CS,2.0,SN2126TC030APP03B0,40.0,PP039A1104,133,12.0,A,제작지연,3B,S-80,N,49.35
129,하이에어,정상,C030A,2.0,조선물류,1.0,3.0,3058.0,성일SIM함안공장,CS,4.0,SN2126TC030APP03B0,40.0,PP039A1104,134,15.0,A,제작지연,3B,S-80,N,29.144
