,Emergency,ApplyLeadTime,STG,Service,DIA,Length,Pass,Sch,Material,Weight,MemberCount,JointCount,Making_Co,MakingLT
368,0.0,정상,3B,N,2.0,5356.0,A,S-80,CS,57.094,6.0,5.0,성일SIM함안공장,25.0
369,0.0,정상,3B,N,2.0,6000.0,A,S-80,CS,56.82,3.0,2.0,성일SIM함안공장,25.0
370,0.0,정상,3B,N,2.0,2393.0,A,S-80,CS,55.233,9.0,8.0,성일SIM함안공장,36.0
371,0.0,정상,3B,N,2.0,6000.0,A,S-80,CS,64.28,4.0,3.0,성일SIM함안공장,36.0
374,0.0,정상,3B,N,2.0,3500.0,A,S-80,CS,36.95,5.0,4.0,성일SIM함안공장,25.0
375,0.0,정상,3B,N,2.0,4632.0,A,S-80,CS,53.9,11.0,7.0,성일SIM함안공장,50.0
377,0.0,정상,3B,PL,2.0,5895.0,A,S-160,CS,75.763,5.0,4.0,성일SIM함안공장,25.0
379,0.0,정상,50,MT,4.0,4195.0,A,S-40,CS,96.801,5.0,4.0,성일SIM함안공장,36.0
381,1.0,정상,50,FWL,12.0,8714.0,A,S-20,CS,458.99300000000005,6.0,5.0,(주)성광테크,31.0
382,0.0,정상,3B,AI,2.0,3738.0,A,S-80,CS,70.597,15.0,11.0,성일SIM함안공장,50.0
383,0.0,정상,3B,AU,2.0,4138.0,A,S-80,CS,70.461,13.0,9.0,성일SIM함안공장,36.0
384,1.0,정상,3B,FGL,2.0,6000.0,A,S-160,CS,109.701,6.0,5.0,건일산업(주),42.0
385,0.0,정상,3B,FGL,2.0,6000.0,A,S-160,CS,77.33,3.0,2.0,성일SIM함안공장,25.0
386,0.0,정상,3B,FGL,2.0,6000.0,A,S-160,CS,81.41,4.0,3.0,성일SIM함안공장,25.0
387,1.0,정상,3B,FGL,2.0,6000.0,A,S-160,CS,73.82,3.0,2.0,건일산업(주),32.0
388,1.0,정상,3B,FGL,2.0,6001.0,A,S-160,CS,80.95100000000002,4.0,3.0,건일산업(주),22.0
389,1.0,정상,3B,FGL,2.0,5122.0,A,S-160,CS,65.065,3.0,2.0,건일산업(주),32.0
390,0.0,정상,40,CDM,3.0,1149.0,A,S-80,CS,32.214,6.0,5.0,성일SIM함안공장,50.0
391,0.0,정상,3B,DA,3.0,2142.0,A,S-80,CS,70.308,6.0,5.0,성일SIM함안공장,50.0
